Index,X_mm,Z_mm,Intensity,Valid
0,-2.1494,0.140012,112,1
1,-2.147,0.139961,102,1
2,-2.1446,0.13991,99,1
3,-2.1422,0.139774,110,1
4,-2.1398,0.13974,123,1
5,-2.1374,0.139808,124,1
6,-2.135,0.139944,125,1
7,-2.1326,0.14008,126,1
8,-2.1302,0.140199,124,1
9,-2.1278,0.140471,128,1
10,-2.1254,0.14059,134,1
11,-2.123,0.14042,137,1
12,-2.1206,0.140352,130,1
13,-2.1182,0.140165,114,1
14,-2.1158,0.140063,107,1
15,-2.1134,0.139995,111,1
16,-2.111,0.139774,121,1
17,-2.1086,0.139587,126,1
18,-2.1062,0.139638,120,1
19,-2.1038,0.13974,109,1
20,-2.1014,0.139587,100,1
21,-2.099,0.139332,95,1
22,-2.09659,0.139213,95,1
23,-2.09419,0.139315,109,1
24,-2.09179,0.139451,130,1
25,-2.08939,0.139842,142,1
26,-2.08699,0.14025,154,1
27,-2.08459,0.140165,153,1
28,-2.08219,0.140148,150,1
29,-2.07979,0.140114,144,1
30,-2.07739,0.139893,135,1
31,-2.07499,0.139808,134,1
32,-2.07259,0.139689,132,1
33,-2.07019,0.139638,131,1
34,-2.06779,0.139417,134,1
35,-2.06539,0.139077,135,1
36,-2.06299,0.139145,135,1
37,-2.06059,0.1394,137,1
38,-2.05819,0.139417,138,1
39,-2.05579,0.139349,143,1
40,-2.05339,0.139247,148,1
41,-2.05099,0.139366,144,1
42,-2.04859,0.139332,128,1
43,-2.04619,0.139196,118,1
44,-2.04379,0.139162,114,1
45,-2.04139,0.139315,120,1
46,-2.03899,0.139451,126,1
47,-2.03659,0.139196,136,1
48,-2.03419,0.139366,149,1
49,-2.03179,0.139417,154,1
50,-2.02939,0.139519,147,1
51,-2.02699,0.139434,137,1
52,-2.02459,0.139315,132,1
53,-2.02219,0.139128,136,1
54,-2.01979,0.139094,136,1
55,-2.01739,0.139213,136,1
56,-2.01499,0.139315,137,1
57,-2.01259,0.139366,135,1
58,-2.01019,0.1394,134,1
59,-2.00779,0.139519,138,1
60,-2.00539,0.139689,143,1
61,-2.00299,0.139587,144,1
62,-2.00059,0.139723,144,1
63,-1.99819,0.139723,144,1
64,-1.99579,0.139451,146,1
65,-1.99339,0.13923,152,1
66,-1.99099,0.139009,158,1
67,-1.98858,0.138958,162,1
68,-1.98618,0.139128,171,1
69,-1.98378,0.139264,170,1
70,-1.98138,0.138907,166,1
71,-1.97898,0.138873,163,1
72,-1.97658,0.138992,158,1
73,-1.97418,0.139128,154,1
74,-1.97178,0.139349,156,1
75,-1.96938,0.139536,158,1
76,-1.96698,0.139553,158,1
77,-1.96458,0.139383,157,1
78,-1.96218,0.139213,155,1
79,-1.95978,0.139179,153,1
80,-1.95738,0.139111,146,1
81,-1.95498,0.13923,137,1
82,-1.95258,0.139417,134,1
83,-1.95018,0.139485,129,1
84,-1.94778,0.139451,128,1
85,-1.94538,0.139332,130,1
86,-1.94298,0.13923,131,1
87,-1.94058,0.139094,143,1
88,-1.93818,0.138822,144,1
89,-1.93578,0.138618,149,1
90,-1.93338,0.138448,146,1
91,-1.93098,0.138499,136,1
92,-1.92858,0.13906,135,1
93,-1.92618,0.139655,142,1
94,-1.92378,0.13991,149,1
95,-1.92138,0.139757,153,1
96,-1.91898,0.13923,155,1
97,-1.91658,0.138482,153,1
98,-1.91418,0.13787,151,1
99,-1.91178,0.137683,145,1
100,-1.90938,0.138074,126,1
101,-1.90698,0.138856,105,1
102,-1.90458,0.139315,106,1
103,-1.90218,0.139128,118,1
104,-1.89978,0.138873,142,1
105,-1.89738,0.138788,161,1
106,-1.89498,0.138431,174,1
107,-1.89258,0.138431,175,1
108,-1.89018,0.138431,176,1
109,-1.88778,0.138244,168,1
110,-1.88538,0.138312,166,1
111,-1.88298,0.138125,163,1
112,-1.88057,0.137904,165,1
113,-1.87817,0.138006,162,1
114,-1.87577,0.138278,149,1
115,-1.87337,0.138346,129,1
116,-1.87097,0.138448,115,1
117,-1.86857,0.138703,109,1
118,-1.86617,0.138516,103,1
119,-1.86377,0.13804,98,1
120,-1.86137,0.137802,102,1
121,-1.85897,0.1377,106,1
122,-1.85657,0.137819,102,1
123,-1.85417,0.13804,104,1
124,-1.85177,0.138108,111,1
125,-1.84937,0.138193,112,1
126,-1.84697,0.138057,115,1
127,-1.84457,0.138074,120,1
128,-1.84217,0.13855,116,1
129,-1.83977,0.138703,125,1
130,-1.83737,0.138873,133,1
131,-1.83497,0.138771,145,1
132,-1.83257,0.13872,146,1
133,-1.83017,0.138703,151,1
134,-1.82777,0.138975,152,1
135,-1.82537,0.139026,149,1
136,-1.82297,0.139196,151,1
137,-1.82057,0.139111,152,1
138,-1.81817,0.138584,148,1
139,-1.81577,0.138278,146,1
140,-1.81337,0.138499,147,1
141,-1.81097,0.138601,143,1
142,-1.80857,0.138346,128,1
143,-1.80617,0.138312,114,1
144,-1.80377,0.138516,111,1
145,-1.80137,0.138516,107,1
146,-1.79897,0.138397,101,1
147,-1.79657,0.138329,96,1
148,-1.79417,0.138448,87,1
149,-1.79177,0.138176,78,1
150,-1.78937,0.138227,80,1
151,-1.78697,0.138516,90,1
152,-1.78457,0.138618,109,1
153,-1.78217,0.13872,128,1
154,-1.77977,0.138737,143,1
155,-1.77737,0.138703,154,1
156,-1.77497,0.138567,169,1
157,-1.77256,0.138295,175,1
158,-1.77016,0.137768,176,1
159,-1.76776,0.137819,176,1
160,-1.76536,0.137836,171,1
161,-1.76296,0.137768,166,1
162,-1.76056,0.137683,164,1
163,-1.75816,0.137513,158,1
164,-1.75576,0.137445,147,1
165,-1.75336,0.137768,134,1
166,-1.75096,0.138295,128,1
167,-1.74856,0.13872,133,1
168,-1.74616,0.138958,144,1
169,-1.74376,0.13889,155,1
170,-1.74136,0.138448,161,1
171,-1.73896,0.138635,162,1
172,-1.73656,0.138584,151,1
173,-1.73416,0.138363,151,1
174,-1.73176,0.138108,154,1
175,-1.72936,0.137751,152,1
176,-1.72696,0.137904,144,1
177,-1.72456,0.13804,136,1
178,-1.72216,0.137683,143,1
179,-1.71976,0.137734,145,1
180,-1.71736,0.137819,146,1
181,-1.71496,0.137768,141,1
182,-1.71256,0.137615,132,1
183,-1.71016,0.1377,137,1
184,-1.70776,0.137717,140,1
185,-1.70536,0.137666,136,1
186,-1.70296,0.137649,132,1
187,-1.70056,0.137938,131,1
188,-1.69816,0.138159,134,1
189,-1.69576,0.138125,136,1
190,-1.69336,0.138159,139,1
191,-1.69096,0.138125,142,1
192,-1.68856,0.137836,140,1
193,-1.68616,0.137598,126,1
194,-1.68376,0.137156,96,1
195,-1.68136,0.136714,73,1
196,-1.67896,0.136816,67,1
197,-1.67656,0.137717,75,1
198,-1.67416,0.138227,93,1
199,-1.67176,0.13872,120,1
200,-1.66936,0.138856,139,1
201,-1.66696,0.139009,157,1
202,-1.66455,0.138397,159,1
203,-1.66215,0.138074,175,1
204,-1.65975,0.137598,178,1
205,-1.65735,0.136918,179,1
206,-1.65495,0.136714,174,1
207,-1.65255,0.136986,172,1
208,-1.65015,0.137071,164,1
209,-1.64775,0.136901,158,1
210,-1.64535,0.136969,152,1
211,-1.64295,0.137088,141,1
212,-1.64055,0.137071,120,1
213,-1.63815,0.137173,104,1
214,-1.63575,0.137632,106,1
215,-1.63335,0.138142,119,1
216,-1.63095,0.138329,132,1
217,-1.62855,0.138363,145,1
218,-1.62615,0.138227,157,1
219,-1.62375,0.137938,169,1
220,-1.62135,0.137581,175,1
221,-1.61895,0.137394,170,1
222,-1.61655,0.137785,175,1
223,-1.61415,0.13821,182,1
224,-1.61175,0.137734,175,1
225,-1.60935,0.137462,169,1
226,-1.60695,0.137564,173,1
227,-1.60455,0.137666,177,1
228,-1.60215,0.137666,177,1
229,-1.59975,0.137938,172,1
230,-1.59735,0.137819,167,1
231,-1.59495,0.137666,174,1
232,-1.59255,0.137649,176,1
233,-1.59015,0.137751,173,1
234,-1.58775,0.137615,175,1
235,-1.58535,0.137649,180,1
236,-1.58295,0.137649,173,1
237,-1.58055,0.137496,165,1
238,-1.57815,0.137241,159,1
239,-1.57575,0.137224,156,1
240,-1.57335,0.137326,156,1
241,-1.57095,0.137224,154,1
242,-1.56855,0.137054,150,1
243,-1.56615,0.136969,147,1
244,-1.56375,0.136935,147,1
245,-1.56135,0.137054,149,1
246,-1.55894,0.13736,149,1
247,-1.55654,0.137411,152,1
248,-1.55414,0.137564,157,1
249,-1.55174,0.137666,160,1
250,-1.54934,0.137377,150,1
251,-1.54694,0.137377,155,1
252,-1.54454,0.137547,152,1
253,-1.54214,0.137547,152,1
